============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 4, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2.
 
 index:        2, (  50,   4): (  50,   1) --> (1499,   1), goal index:      662, cost =
 index:        3, (  52,   4): (  52,   1) --> (1499,   1), goal index:      667, cost =
 index:        4, (  54,   4): (  54,   1) --> (1499,   1), goal index:      676, cost =
 index:        5, (  56,   4): (  56,   1) --> (1499,   1), goal index:      678, cost =
 index:        6, (  52,   4): (  52,   1) --> (1499,   1), goal index:      680, cost =
 index:        7, (  54,   4): (  54,   1) --> (1499,   1), goal index:      675, cost =
 index:        8, (  54,   4): (  54,   1) --> (1499,   1), goal index:      683, cost =
 index:        9, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       10, (  56,   4): (  56,   1) --> (1499,   1), goal index:      697, cost =
 index:      655, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1376, cost =
 index:      656, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1397, cost =
 index:      657, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1397, cost =
 index:      658, (  94,   7): (  94,   4) --> (1499,   1), goal index:     1352, cost =
 index:      659, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1353, cost =
 index:      660, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1376, cost =
 index:      661, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1396, cost =
 index:      662, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1399, cost =
 index:      663, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1418, cost =
 index:      664, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1433, cost =
 index:      665, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1401, cost =
 index:      666, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1389, cost =
 index:      667, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1365, cost =
 index:      668, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1388, cost =
 index:      669, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1391, cost =
 index:      670, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1392, cost =
 index:      671, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1367, cost =
 index:      672, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1390, cost =
 index:      673, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1406, cost =
 index:      674, (  94,   4): (  94,   1) --> (1499,   1), goal index:     1409, cost =
 index:      675, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1372, cost =
 index:      676, (  95,   4): (  95,   1) --> (1499,   1), goal index:     1396, cost =
 index:      677, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1418, cost =
 index:      678, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1404, cost =
 index:      679, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1423, cost =
 index:      680, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1418, cost =
 index:      681, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1406, cost =
 index:      682, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1426, cost =
 index:      683, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1427, cost =
 index:      684, (  95,   7): (  95,   4) --> (1499,   1), goal index:     1381, cost =
 index:      685, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1382, cost =
 index:      686, (  95,   4): (  95,   1) --> (1499,   1), goal index:     1405, cost =
 index:      687, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1425, cost =
 index:      688, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1427, cost =
 index:      689, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1446, cost =
 index:      690, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1462, cost =
 index:      691, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1428, cost =
 index:      692, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1447, cost =
 index:      693, (  95,   4): (  95,   1) --> (1499,   1), goal index:     1429, cost =
 index:      694, (  95,   4): (  95,   1) --> (1499,   1), goal index:     1394, cost =
 index:      695, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1416, cost =
 index:      696, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1393, cost =
 index:      697, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1393, cost =
 index:      698, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1416, cost =
 index:      699, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1436, cost =
 index:      700, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1439, cost =
 index:      701, (  95,   4): (  95,   1) --> (1499,   1), goal index:     1458, cost =
 index:      702, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1399, cost =
 index:      703, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1423, cost =
 index:      704, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1417, cost =
 index:      705, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1428, cost =
 index:      706, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1407, cost =
 index:      707, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1430, cost =
 index:      708, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1446, cost =
 index:      709, (  96,   7): (  96,   4) --> (1499,   1), goal index:     1448, cost =
 index:      710, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1411, cost =
 index:      711, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1434, cost =
 index:      712, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1450, cost =
 index:      713, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1434, cost =
 index:      714, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1441, cost =
 index:      715, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1441, cost =
 index:      716, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1460, cost =
 index:      717, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1457, cost =
 index:      718, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1476, cost =
 index:      719, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1423, cost =
 index:      720, (  97,   7): (  97,   4) --> (1499,   1), goal index:     1422, cost =
 index:      721, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1421, cost =
 index:      722, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1445, cost =
 index:      723, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1432, cost =
 index:      724, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1447, cost =
 index:      725, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1462, cost =
 index:      726, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1483, cost =
 index:      727, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1466, cost =
 index:      728, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1428, cost =
 index:      729, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1453, cost =
 index:      730, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1469, cost =
 index:      731, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1491, cost =
 index:      732, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1435, cost =
 index:      733, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1459, cost =
 index:      734, (  97,   4): (  97,   1) --> (1499,   1), goal index:     1444, cost =
 index:      735, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1438, cost =
 index:      736, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1463, cost =
 index:      737, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1485, cost =
 index:      738, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1468, cost =
 index:      739, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1487, cost =
 index:      740, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1486, cost =
 index:      741, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1500, cost =
 index:      742, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1480, cost =
 index:      743, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1480, cost =
 index:      744, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1475, cost =
 index:      745, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1446, cost =
 index:      746, (  98,   7): (  98,   4) --> (1499,   1), goal index:     1464, cost =
 index:      747, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1448, cost =
 index:      748, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1472, cost =
 index:      749, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1471, cost =
 index:      750, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1488, cost =
 index:      751, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1491, cost =
 index:      752, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1499, cost =
 index:      753, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1485, cost =
 index:      754, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1455, cost =
 index:      755, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1481, cost =
 index:      756, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1460, cost =
 index:      757, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1460, cost =
 index:      758, ( 100,   7): ( 100,   4) --> (1499,   1), goal index:     1478, cost =
 index:      759, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1503, cost =
 index:      760, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1493, cost =
 index:      761, (  98,   4): (  98,   1) --> (1499,   1), goal index:     1487, cost =
 index:      762, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1466, cost =
 index:      763, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1492, cost =
 index:      764, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1495, cost =
 index:      765, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1508, cost =
 index:      766, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1514, cost =
 index:      767, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1499, cost =
 index:      768, ( 100,   7): ( 100,   4) --> (1499,   1), goal index:     1476, cost =
 index:      769, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1503, cost =
 index:      770, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1520, cost =
 index:      771, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1489, cost =
 index:      772, (  99,   7): (  99,   4) --> (1499,   1), goal index:     1505, cost =
 index:      773, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1479, cost =
 index:      774, ( 100,   7): ( 100,   4) --> (1499,   1), goal index:     1497, cost =
 index:      775, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1522, cost =
 index:      776, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1511, cost =
 index:      777, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1506, cost =
 index:      778, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1513, cost =
 index:      779, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1512, cost =
 index:      780, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1526, cost =
 index:      781, (  99,   4): (  99,   1) --> (1499,   1), goal index:     1528, cost =
 index:      782, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1489, cost =
 index:      783, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1492, cost =
 index:      784, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1495, cost =
 index:      785, ( 100,   7): ( 100,   4) --> (1499,   1), goal index:     1493, cost =
 index:      786, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1520, cost =
 index:      787, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1538, cost =
 index:      788, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1504, cost =
 index:      789, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1520, cost =
 index:      790, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1541, cost =
 index:      791, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1527, cost =
 index:      792, (  99,   4): (  99,   1) --> (1499,   1), goal index:     1545, cost =
 index:      793, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1500, cost =
 index:      794, ( 100,   7): ( 100,   4) --> (1499,   1), goal index:     1520, cost =
 index:      795, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1544, cost =
 index:      796, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1513, cost =
 index:      797, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1509, cost =
 index:      798, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1507, cost =
 index:      799, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1511, cost =
 index:      800, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1533, cost =
 index:      801, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1551, cost =
 index:      802, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1567, cost =
 index:      803, ( 100,   7): ( 100,   4) --> (1499,   1), goal index:     1511, cost =
 index:      804, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1535, cost =
 index:      805, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1555, cost =
 index:      806, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1521, cost =
 index:      807, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1538, cost =
 index:      808, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1558, cost =
 index:      809, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1573, cost =
 index:      810, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1574, cost =
 index:      811, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1524, cost =
 index:      812, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1549, cost =
 index:      813, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1530, cost =
 index:      814, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1525, cost =
 index:      815, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1528, cost =
 index:      816, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1550, cost =
 index:      817, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1568, cost =
 index:      818, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1584, cost =
 index:      819, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1587, cost =
 index:      820, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1545, cost =
 index:      821, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1559, cost =
 index:      822, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1577, cost =
 index:      823, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1595, cost =
 index:      824, ( 100,   4): ( 100,   1) --> (1499,   1), goal index:     1596, cost =
 index:      825, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1533, cost =
 index:      826, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1537, cost =
 index:      827, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1536, cost =
 index:      828, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1561, cost =
 index:      829, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1542, cost =
 index:      830, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1563, cost =
 index:      831, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1577, cost =
 index:      832, ( 101,  10): ( 101,   7) --> (1499,   1), goal index:     1596, cost =
 index:      833, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1540, cost =
 index:      834, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1542, cost =
 index:      835, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1564, cost =
 index:      836, ( 102,   7): ( 102,   4) --> (1499,   1), goal index:     1546, cost =
 index:      837, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1573, cost =
 index:      838, ( 102,  10): ( 102,   7) --> (1499,   1), goal index:     1589, cost =
 index:      839, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1549, cost =
 index:      840, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1574, cost =
 index:      841, ( 102,   7): ( 102,   4) --> (1499,   1), goal index:     1555, cost =
 index:      842, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1579, cost =
 index:      843, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1594, cost =
 index:      844, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1583, cost =
 index:      845, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1560, cost =
 index:      846, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1579, cost =
 index:      847, ( 102,   7): ( 102,   4) --> (1499,   1), goal index:     1562, cost =
 index:      848, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1589, cost =
 index:      849, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1605, cost =
 index:      850, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1595, cost =
 index:      851, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1574, cost =
 index:      852, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1586, cost =
 index:      853, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1606, cost =
 index:      854, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1620, cost =
 index:      855, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1622, cost =
 index:      856, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1630, cost =
 index:      857, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1632, cost =
 index:      858, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1575, cost =
 index:      859, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1575, cost =
 index:      860, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1594, cost =
 index:      861, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1617, cost =
 index:      862, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1634, cost =
 index:      863, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1637, cost =
 index:      864, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1647, cost =
 index:      865, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1647, cost =
 index:      866, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1590, cost =
 index:      867, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1610, cost =
 index:      868, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1624, cost =
 index:      869, ( 102,   4): ( 102,   1) --> (1499,   1), goal index:     1623, cost =
 index:      870, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1588, cost =
 index:      871, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1589, cost =
 index:      872, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1615, cost =
 index:      873, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1633, cost =
 index:      874, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1633, cost =
 index:      875, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1638, cost =
 index:      876, ( 104,   7): ( 104,   4) --> (1499,   1), goal index:     1651, cost =
 index:      877, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1662, cost =
 index:      878, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1665, cost =
 index:      879, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1672, cost =
 index:      880, ( 103,  10): ( 103,   7) --> (1499,   1), goal index:     1604, cost =
 index:      881, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1595, cost =
 index:      882, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1619, cost =
 index:      883, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1624, cost =
 index:      884, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1639, cost =
 index:      885, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1602, cost =
 index:      886, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1623, cost =
 index:      887, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1644, cost =
 index:      888, ( 104,   7): ( 104,   4) --> (1499,   1), goal index:     1646, cost =
 index:      889, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1647, cost =
 index:      890, ( 103,   7): ( 103,   4) --> (1499,   1), goal index:     1608, cost =
 index:      891, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1630, cost =
 index:      892, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1649, cost =
 index:      893, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1654, cost =
 index:      894, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1655, cost =
 index:      895, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1657, cost =
 index:      896, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1662, cost =
 index:      897, ( 104,   7): ( 104,   4) --> (1499,   1), goal index:     1620, cost =
 index:      898, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1643, cost =
 index:      899, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1662, cost =
 index:      900, ( 104,  10): ( 104,   7) --> (1499,   1), goal index:     1664, cost =
 index:      901, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1621, cost =
 index:      902, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1642, cost =
 index:      903, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1663, cost =
 index:      904, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1668, cost =
 index:      905, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1667, cost =
 index:      906, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1684, cost =
 index:      907, ( 104,   7): ( 104,   4) --> (1499,   1), goal index:     1690, cost =
 index:      908, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1697, cost =
 index:      909, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1698, cost =
 index:      910, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1692, cost =
 index:      911, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1679, cost =
 index:      912, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1635, cost =
 index:      913, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1656, cost =
 index:      914, ( 104,   7): ( 104,   4) --> (1499,   1), goal index:     1637, cost =
 index:      915, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1661, cost =
 index:      916, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1681, cost =
 index:      917, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1683, cost =
 index:      918, ( 105,   7): ( 105,   4) --> (1499,   1), goal index:     1687, cost =
 index:      919, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1700, cost =
 index:      920, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1696, cost =
 index:      921, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1696, cost =
 index:      922, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1711, cost =
 index:      923, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1702, cost =
 index:      924, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1707, cost =
 index:      925, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1723, cost =
 index:      926, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1711, cost =
 index:      927, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1720, cost =
 index:      928, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1653, cost =
 index:      929, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1652, cost =
 index:      930, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1673, cost =
 index:      931, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1694, cost =
 index:      932, ( 105,   7): ( 105,   4) --> (1499,   1), goal index:     1699, cost =
 index:      933, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1718, cost =
 index:      934, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1717, cost =
 index:      935, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1715, cost =
 index:      936, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1700, cost =
 index:      937, ( 105,   7): ( 105,   4) --> (1499,   1), goal index:     1705, cost =
 index:      938, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1703, cost =
 index:      939, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1717, cost =
 index:      940, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1717, cost =
 index:      941, ( 104,   4): ( 104,   1) --> (1499,   1), goal index:     1715, cost =
 index:      942, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1664, cost =
 index:      943, ( 105,   7): ( 105,   4) --> (1499,   1), goal index:     1667, cost =
 index:      944, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1692, cost =
 index:      945, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1711, cost =
 index:      946, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1713, cost =
 index:      947, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1728, cost =
 index:      948, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1729, cost =
 index:      949, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1746, cost =
 index:      950, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1747, cost =
 index:      951, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1751, cost =
 index:      952, ( 105,  10): ( 105,   7) --> (1499,   1), goal index:     1708, cost =
 index:      953, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1673, cost =
 index:      954, ( 105,   7): ( 105,   4) --> (1499,   1), goal index:     1698, cost =
 index:      955, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1704, cost =
 index:      956, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1719, cost =
 index:      957, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1682, cost =
 index:      958, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1703, cost =
 index:      959, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1724, cost =
 index:      960, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1730, cost =
 index:      961, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1727, cost =
 index:      962, ( 105,   7): ( 105,   4) --> (1499,   1), goal index:     1687, cost =
 index:      963, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1712, cost =
 index:      964, ( 106,  10): ( 106,   7) --> (1499,   1), goal index:     1731, cost =
 index:      965, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1731, cost =
 index:      966, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1734, cost =
 index:      967, ( 107,  10): ( 107,   7) --> (1499,   1), goal index:     1751, cost =
 index:      968, ( 106,   7): ( 106,   4) --> (1499,   1), goal index:     1749, cost =
 index:      969, ( 108,  10): ( 108,   7) --> (1499,   1), goal index:     1763, cost =
